description,label
ต้นไม้เลื้อยขึ้นสายไฟ  กลัวจะเกิดไฟฟ้ารัดวงจรและทำให้เกิดอันตราย,ต้นไม้
ร้านครัวโสมทอง หมูจุ่ม ลาดหญ้า ถนนพุทธมณฑลสาย 2 ใช้พื้นที่ฟุตบาททางเท้าให้ลูกค้าของร้านนั่งเต็มทางเท้า (เวลาประมาณ 17:00 - 24:00) เวลาลงจากรถสาธารณทำให้ไม่มีทางเดิน จึงต้องลงไปเดินบนถนน ร้านทำแบบนี้มานานหลายปี (อาจจะมีการทุจริตให้เงินตำรวจ เทศกิจ),กรุงเทพโปร่งใส&ทุจริต
ป้ายบนท้องถนน,"('ขยะ', 'ขยะ')"
ควรมีทางม้าลายในการข้ามถนน,"('ถนน', 'ทางม้าลาย')"
1.พื้นฟุตบาธไม่เรียบมีหลุม 2.ฝาท่อปิดไม่สนิทและแตกร้าว 3.สะพานข้ามบางกอกน้อยมีจุดที่ราวสะพานถูกรถชนขนเกือบขาดแต่ไม่ทีการปรับปรุงแก้ไข 4.สายไฟที่ระโยงระยางและมีบางส่วนตกลงมา 5.มีจุดแตกหักบนพื้น ใต้เสาไฟฟ้า,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
ผมมีความเดือดร้อนขอร้องเรียนครับ เนื่องจากบริษัทตรงข้ามบ้าน ส่งกลิ่นเหม็นน้ำมันมาตาม พ่อ ส่งกลิ่นเหม็นพอวันที่ 20 เวลาประมาณ 21:40 น เกิดฝนตกหนัก น้ำท่วมถนน ทำให้น้ำท่วมขัง น้ำได้ไหลแล้วส่งกลิ่นเหม็นเข้ามาในบ้านผม ผมจึงขอให้เจ้าหน้าที่ช่วยเหลือผมหน่อยครับเพราะที่บ้านมีคนแก่อายุ 90 พอแกสูดดมเข้าไปแล้วแกมีอาการหน้ามืดเวียนหัวอาเจียน จึงวิงวอนขอให้เจ้าหน้าที่ช่วยเหลือด้วยครับ,มลภาวะทางอากาศ
ที่จอดจักรยาน บนทางเท้า,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
ซอยร่มเกล้า 17 เชื่อมคุ้มเกล้า 16 ขอบถนนเป็นหลุม ซ้ายขวา แจ้งหลายครั้งแล้วค่ะ,"('ถนน', 'พื้นผิวถนนชำรุด')"
1.เนื่องจากมีคนไร้บ้านอยู่ในบริเวณดังกล่าวทำให้มีข้าวของของพวกเขาวางริมทางเดินเท้าครับ 2.นอกจากนี้ บริเวณตึกเก่าดังเกล่ามีน้ำรั่ว เวลาฝนตกทีหลังยากนั้นจะมีน้ำหยดลงมาบริเวณทางเท้าประจำ 3.สังกะสีที่กั้นบริเวณพื้นที่ดังกล่าวชำรุดพอสมคสรครับ ลมแรงทีอันตรายอยู่ครับ,คนไร้บ้าน&ขอทาน
ไม่มีรถมาเก็บขยะในซอยพหลโยธิน59 แยก3 สดใส5 เป็นเวลา 1 สัปดาห์แล้วครับ ขยะกองเต็มหน้าบ้านหลายหลัง ส่งกลิ่นเหม็นรบกวน บ้างก็ถูกสุนัขมาคุ้ยกระจาย,สัตว์
ท่อระบายน้ำชำรุดมานานมากไม่มีการแก้ไข,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
ถนนซอยอนามัยงามเจริญ41 (ซอยโรงเรียนวัดบัวผัน)ผิวถนนเป็นหลุมเป็นบ่อ มอเตอร์ไซค์วิ่งตกหลุมมีโอกาสล้ม,"('ถนน', 'พื้นผิวถนนชำรุด')"
อยากให้ติดตั้งสัญญาณไฟจราจร ไฟเขียว ไฟแดง และป้ายเตือนสามแยก,จราจร
พื้นกระเบื้องหลุดออกมาทั้งแถบเลยค่ะ / เป็นทางไป bts ที่มีคนพิการใช้ตลอด,การเข้าถึงของคนพิการ&ผู้สูงอายุ
จัดงานดนตรีเสียงดังมากในยามวิกาล เสียงและ แสงไฟรบกวนพื้นที่รอบข้าง,เสียง
มีขยะทิ้งนอกถัวเยอะมากครับ,"('ขยะ', 'ขยะ')"
จุดจอดสถานีรถไฟจรัญสนิทวงศ์ กลายเป็นที่พักของคนไร้บ้าน เต็มไปด้วยขยะ ผู้โดยสารไม่สามารถมารอรถตรงจุดนี้ได้ปลอดภัย ทั้งๆ ที่พื้นที่บริเวณนี้อยู่ตอดกับสถานีใต้ดิน บางขุนนนท์ ควรพัฒนาให้ใช้งานได้อย่างเต็มรูปแบบ เพราะสะดวกต่อการเดินทางของประชาชน,คนไร้บ้าน&ขอทาน
ทางม้าลายขาดครึ่ง เห็นมานานแล้วค่ะ บริเวณหน้าป้ายรถเมล์โรงละครแห่งชาติ,"('ถนน', 'ทางม้าลาย')"
ตรงซอยประเสริฐมนูกิจ 14 เส้นริมถนนเกษตร- นวมินทร์ค่ะ,reject
ซากรถ2คัน จอดทิ้งไว้หลายปีแล้ว,"('ขยะ', 'ขยะ')"
พบเจอผู้กระทำผิดโดยการผู้สูบบุหรี่ในร้านอาหาร ซึ่งเป็นเขตปลอดบุหรี่ ส่งผลให้ผู้ที่มาใช้บริการมีอาการสำลักควันอย่างหนัก อันตรายถึงชีวิต ต้องจับกุมโดยด่วน,มลภาวะทางอากาศ
ติดโควิดไปโรงบาลกลาง ไปถึง 9 โมงบอกคิวเช้า 50 คิวเต็ม ให้รอบ่ายโมง นั่งรอหนาวสั่นมาก ทรมานมาก เห็นตั้งแต่ 10 โมงเจ้าหน้าที่ก็ว่างแล้ว คนแก่ๆ ที่มาถึงก็ต้องนั่งรอ เจ้าหน้าที่ก็เล่นกันไป กินข้าวไป พอถึงคิวรอบบ่าย ก็ให้กรอกแบบฟอร์ม ก็เจ้าหน้าที่กลุ่มเดิมอ่านอาการตามที่กรอกแล้วให้ยาแล้วกลับได้เลย งงว่าแล้วให้รอทำไมทั้งที่คุณก็ว่างกัน,การเข้าถึงของคนพิการ&ผู้สูงอายุ
ถนนรอบสวนและสวนสุขภาพทรุดโทรม,"('ถนน', 'พื้นผิวถนนชำรุด')"
พบเจอวินมอเตอร์ไซค์หน้า The Street รัชดา รวมตัวกันสูบบุหรี่ ส่งผลให้ผู้มาใช้บริการมีอาการสำลักควันอย่างหนัก และหายใจติดขัดอย่างรุนแรง,มลภาวะทางอากาศ
ท่อประปาแตกซ่อมแล้วไม่กลบกลับให้เรียบร้อย,"('ถนน', 'พื้นผิวถนนชำรุด')"
ซอยสุขาภิบาล 2 ซอย11แยก2-1  มีต้นไม้บดบังเส้นทางออกจากแยกทำให้ไม่เห็นรถออกจากซอยมองไม่เห็นรถผ่านไปมา,ต้นไม้
ไฟส่องสว่างสวนสาธารณะพุทธมณฑล วงแหวนสาย2  ดับหลายดวง,สวนสาธารณะ
มีบ้านคน สร้างอยู่อาศัยในสวนสาธารณะของส่วนรวม แต่ไม่ยอมย้ายออก ช่วยไปตัดการด้วยนะคะ,สวนสาธารณะ
อยากให้เชื่อสะพานลอบกับสถานีไฟฉาย เข่าไม่ดีเดินขึ้นลงลำบากมาก ลิฟท์ สำหรับคนพิการควรมีอีกอีกสองจุด ด้านถนนจรัญขึ้นไปทางซอย จรัญ 13,การเข้าถึงของคนพิการ&ผู้สูงอายุ
ต้นไม้เลื้อยบนสายไป,ต้นไม้
ฝาท่อปิดไม่เรียบร้อย,"('ถนน', 'ท่อระบายน้ำบนถนน')"
สำนักงานเขตสะพานสูง โทรติดต่อยากมาก  โทรติดอ้างว่าไม่ได้ยินเสียง ทั้งที่โทรไปที่อื่นสนทนาได้ชัดเจน หลายครั้งเจ้าหน้าที่อยู่แต่เจตนาไม่รับสาย,กรุงเทพโปร่งใส&ทุจริต
แจ้งปัญหาไม่มีทางม้าลาย ทางข้ามไม่ชัดเจน บริเวณถนนครุใน,"('ถนน', 'ทางม้าลาย')"
ถนนไม่เรียบ ใกล้สี่แยก เป็นชั้นแยก ทำให้ต้องเบรคกระทันหัน รบกวนแก้ไขให้เทถนนเท่ากันด้วยค่ะ,"('ถนน', 'พื้นผิวถนนชำรุด')"
ฝาท่อเสื่อมสภาพ,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
แมวจรจัดเต็มซอย เดือดร้อน มาถ่ายมูลค่ะ,สัตว์
ถนนกลับมาขรุขระ เสี่ยงทรุดเหมือนเดิม,"('ถนน', 'พื้นผิวถนนชำรุด')"
น้ำประปาไม่ไหลบ่อยมากๆ,ประปา
Freesia Saladaeng Silom Apartments 02 636 3856 https://goo.gl/maps/2PHKzwWhqpLRnaqu8,reject
ซ่อมทางเท้าให้หน่อยครับ,"('ทางเท้า', 'ทางเท้าชำรุด')"
แจ้งซ่อมแซมพื้นผิวจราจรครับ,"('ถนน', 'พื้นผิวถนนชำรุด')"
เรื่อง คนขอทานข้างทาง อยากให้หางานให้เค้าเป็นหลักแหล่งค่ะ,คนไร้บ้าน&ขอทาน
ทางม้าลายข้ามถนน บนถนนพระยาสุเรนทร์ ระหว่างซอยพระยาสุเรนทร์11-13 ฝั่งหนึ่งมีแม่ค้าขายของบนทางม้าลาย อีกฝั่งมีรถจอดบนทางม้าลาย แจ้งเทศกิจก็ไม่ช่วยอะไร แจ้งตำรวจก็ไม่เขียนใบสั่งให้รถบนทางม้าลาย,"('ถนน', 'ทางม้าลาย')"
แจ้งปัญหาหลายรอบแล้วไม่ได้รับการแก้ไข ไม่มีหน่วยงานเข้ามาดูแล มีรถเก่ามาจอดทิ้งไว้ริมกำแพงบ้านเกิน 5 ปี ไม่พบเจ้าของรถ ต้องการรถมาลากออกจากซอยวุฒากาศ 47,"('ขยะ', 'ขยะ')"
บริเวณถนนริมทางรถไฟปากน้ำ ช่วงหน้าสำนักงานเขตคลองเตย ฝาท่อกับพื้นผิดถนนมีระดับต่างกัน รถเล็กสัญจรแล้วมีความเวี่ยงเกิดอุบัติเหตุ รวมทั้งพื้นผิดจราจร ผิวถนนชำรุดไม่เรียบ,"('ถนน', 'ท่อระบายน้ำบนถนน')"
สัญญาณไฟเขียวบริเวณด้านหน้าธนาคารกรุงเทพสำนักงานใหญ่มีระยะเวลาที่สั้นเกินไปคือประมาณ 15 วินาทีไม่เพียงพอต่อการข้ามถนนสองเลน ต้องการให้ปรับปรุงโดยเพิ่มระยะเวลาในการข้ามถนนเป็นอย่างน้อยครึ่งหนึ่งของสัญญาณไฟแดง ที่ตอนนี้อยู่ที่ประมาณ 66 วินาทีค่ะ,"('ถนน', 'ทางม้าลาย')"
1) แมวจรจัดไร้บ้าน,สัตว์
ถนนไม่มีเส้นหลังราดยางมะตอยใหม่,"('ถนน', 'พื้นผิวถนนชำรุด')"
ไฟถนนในซอยนวมินทร์ 117 ไม่ติด,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ห้องน้ำสวนเบญจกิติ เสียเอาเชือกกั้น 2 จุด เหลืออีกจุด จาก 4 โถ เสียไปอีก 2,อาคารสถานที่ชำรุด
แจ้งเรื่องน้ำท่วมขังหน้าบ้าน ท่อตันค่ะ ทาง สส. เขตหนองจอกส่งคนมาลอกท่อหลายครั้งแล้ว ปัญหาที่เกิดขึ้นก็ไม่หายไปค่ะ น้ำขังจนเป็นตะไคร้น้ำ ลูกสาวปั่นจักรยานล้มหน้าแหก ที่บ้านมีคนแก่และเด็กเกรงว่าจะเกิดอันตรายค่ะ,น้ำท่วม
ถนนทรุดแก้เท่าไรก็ไม่หาย,"('ถนน', 'พื้นผิวถนนชำรุด')"
ปัญหาทางเท้ายุบตัว แจ้งไปแล้วยังไม่ได้รับการแก้ไข ช่วงแรกนำเทปมาขึงบริเวณ แต่ตอนนี้แค่นำกระเบื้องมาเรียง ยังไม่ได้แก้ไขตามเดิม,"('ทางเท้า', 'ทางเท้าชำรุด')"
ผิดที่ค่ะ คลองตรงซอยสันติภาพ1อ่ะค่ะ ชื่อว่าหัวลำโพงเก่าอ่ะค่ะTT แบบว่ามีขยะเต็มเลย แล้วก็เหม็น,"('ขยะ', 'น้ำเน่าเสีย')"
1. มีวินมอเตอร์ไซด์รับจ้างจอดบนทางเท้า มีการขับปาดจากทางเท้าลงถนนทุกครั้งเวลารับลูกค้า รู้สึกอันตรายต่อรถที่ขับบนถนนมาก,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
ต้องให้ช่วยหาคนตัดต้นไม้สูง,ต้นไม้
สน. พหลโยธิน เค้าจะรื้อถอนไหมครับ เพราะทางเท้า เป็นของเขต ห้วยขวาง รับผิดชอบ และ ทาง สน. ตั้งป้อมจราจร ผิดกฏหมาย ทางเขตมีอำนาจรื้อถอนได้ ทาง สน. พหลโยธิน ผู้กำกับการจราจร เคยแจ้งเรื่องแล้ว เพิกเฉย ทางเขต มีอำนาจรื้อถอนได้เพราะระยะ ร่น ทางเท้า ผิดกฏหมาย ทางเท้าแคบ ไม่ถึงระยะกฏหมายกำหนด,กรุงเทพโปร่งใส&ทุจริต
ไฟบนสะพานลอยเสียครับตอนกลางคืนมืดมากเลยครับ แจ้งไปครั้งนึงแล้วยังไม่มีแก้ไขเลยครับ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
น้ำไม่ไหล ท่าข้าม 28 แยก18-2,ประปา
ปรับปรุงความชัดเจนปลอดภัยทางม้าลายผู้ใช้ทาง กวดขันวินัยผู้ขับขี่ยานยนตร์บนทางจราจรเคร่งครัดกฎระเบียบทั้ง 3 ส่วนทางแยก,"('ถนน', 'ทางม้าลาย')"
เส้นทางม้าลาย บริเวณสี่แยกคลองตัน ไม่ชัดเจนครับ (ฝั่งถนนเพชรบุรีตัดใหม่ ข้ามมาที่สุขุมวิท71),"('ถนน', 'ทางม้าลาย')"
อยากให้เลิกปักเสาเพราะมันขวางทางคนเดินข้ามทางม้าลาย ยิ่งเป็นคนพิการนั่งรถเข็นมันจะลำบากข้ามทางม้าลาย การปักเสาไม่ช่วยกันมอเตอร์ไซด์ คนขับมอเตอร์ไซด์จะแหกกฎจราจรเหมือนเดิม,การเข้าถึงของคนพิการ&ผู้สูงอายุ
ไฟทางไม่ติดค่ะ ทางมืดค่อนข้างอันตรายค่ะ  ถ.เรียบทางรถไฟ-ตลิ่งชัน  ช่วงตลาดไชยทิศไปถึงปากทางที่จะออกถ.จรัญสนิทวงศ์ ค่ะ,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ทางเท้าขรุขระ เดินสะดุด อันตราย,"('ทางเท้า', 'ทางเท้าชำรุด')"
มีการนำรถยนต์จำนวนมากจอดทับทางเท้าเป็นจำนวนมาก ซึ่งเป็นพื้นที่สาธารณะ ทำให้ไม่สามารถเดินบนทางเท้าให้ต้องลงไปเดอนบนถนน เป็นอันตรายต่อผู้สัญจรผ่านเส้นทางนั้น,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
1. ไฟคนข้ามถนนไม่ติดมาประมาณ 1 เดือน (แยกนราธิวาสตัดพระราม3),"('ถนน', 'ทางม้าลาย')"
สงัสยเวลาการเก็บขยะ ที่ฝั่งธนบุรีครับ,"('ขยะ', 'ขยะ')"
และไฟส่องทางไม่มี,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
จุดกลับรถหน้าดับเพลิงบางอ้อค่ะ,reject
ฝาท่อต่างระดับกับถนน,"('ถนน', 'ท่อระบายน้ำบนถนน')"
มีร้านก๋วยเตี๋ยวใช้พื้นที่ถนนค้าขาย (ไม่ใช่ทางเท้า แต่เป็นริมถนน) บริเวณกลางซอยรัชดา 7 เขตดินแดง ตรงข้ามโรงแรมคริสตัล ทำให้คนเดินต้องไปเดินกลางถนน เพราะซอยไม่มีฟุตบาทอยู่แล้ว,"('ทางเท้า', 'ทางเท้าชำรุด')"
ประเภทการจราจร,reject
ต้องการให้มาดูแลน้องแมวจรที่ รพ กลางครับ,สัตว์
แจ้งวิธีการทำงานจัดการปัญหา หมาแมวจร หมาแมวต้องอายุ 1 ปี ขึ้นไป จะบอกว่า เเมวตัวเมีย 4 เดือนก็ท้องแล้วครับ ไม่ทันการครับ,สัตว์
เมื่อก่อนเคยมีทางม้าลาย พอทำถนนใหม่  ไม่ทำทางม้าลายคืนให้ครับ,"('ถนน', 'ทางม้าลาย')"
มีการเทพื้นถนนใหม่ ทับทางม้าลายเดิมแต่ยังไม่มีการทำทางม้าลายใหม่ น่าจะเกิน 2 อาทิตย์แล้วค่ะ,"('ถนน', 'ทางม้าลาย')"
กรุณาไปตอนเย็น 18:00,reject
1. ท่อระบายน้ำชำรุด ทำให้มีน้ำท่วมขัง 2. พบถนนมีหลุม 1 จุด บริเวณ ซ.สุขสวัสดิ์ 62 ก่อนถึงหน้าวัดโสธาราม ประมาณ 50 เมตร พื้นที่ เขตทุ่งครุ,น้ำท่วม
คนไร้บ้านมาอาศัยบนสะพานลอยบริเวณสามแยกพระโขนง ทิ้งขยะเศษอาหารและถ่ายปัจสาวะสร้างความสกปรก เสี่ยงอันตรายสำหรับผู้ใช้สะพานลอย,คนไร้บ้าน&ขอทาน
ฝาท่อถูกเปิดอยู่,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
สวนสาธารณะแถวบ้านไม่อนุญาติให้นำสัตว์เลี้ยงไปออกกำลังกายด้วย ซึ่งตอนเช้าและเย็นจะไปออกกำลังกาย อยากให้พาน้องหมาไปด้วยกันนะครับ,สวนสาธารณะ
ปัญหาคนเร่ร่อนสร้างความหวาดกลัวให้คนใช้สะพานลอย ตอนเช้ามานั่งขอทาน ตอนเย็นนั่งมั่วสุมกินเหล้า,คนไร้บ้าน&ขอทาน
แจ้งแมวจรมาอาศัยอยู่ภายในรั้วบ้านครับ ออกลูกหลานมาหลายเจนแล้วครับ,สัตว์
แจ้งปัญหาระบบ ระบบแจ้งเบาะแสเพื่อรับส่วนแบ่งค่าปรับของประชาชน 4.0  1. เจ้าหน้าไม่รับเรื่องร้อนเรื่องของประชาชน 2. ไม่มีการดำเนินการใดๆ  3. ไม่ได้รับเงินส่วนแบ่ง,กรุงเทพโปร่งใส&ทุจริต
สามารถแจ้งเรื่องคนข้างบ้านสูบหุหรี่หน้าบ้าน แล้วควันลอยเข้ามาในบ้านได้หรือเปล่าครับ,มลภาวะทางอากาศ
ตรวจสอบการทำงานของเจ้าหน้าที่เทศกิจ เขตสาทร ถนนนราธิวาส และผู้ที่เกี่ยวข้อง  เนื่องจากร้องเรียนเรื่องทางเท้าไปไม่ต่ำกว่า 10 ครั้ง มีการแก้ไขปัญหา ถ่ายรูปมาให้จริง แต่วันถัดมาเป็นแบบเดิม ทุกครั้ง รบกวนทีมอ.ชัชชาติตรวจสอบการทำงานค่ะ ว่าเป็นไปอย่างสุจริตและโปร่งใสหรือไม่  ทางทีมงานที่ดูแลเรื่องทางเท้าทำเพียงถ่ายรูปมาให้ดูอย่างเดียว ไม่ได้แก้ไขจริง ๆหรือไม่?,กรุงเทพโปร่งใส&ทุจริต
ต้นไม้ริมถนน เทพรัตน ฝั่งขาเข้าล้ม พิกัด กม.1 (ไบเทคบางนา)ครับ,ต้นไม้
พื้นถนนยุบ ตรงเส้นถนนเพชรเกษม ก่อนแยกเดอะมอลล์บางแค (มาจากทางนครปฐม),"('ถนน', 'พื้นผิวถนนชำรุด')"
สายไฟขาด ห้อย,"('ไฟฟ้า', 'เสาไฟฟ้า&สายไฟฟ้า')"
รถtaxi จอดกีดขวางบริเวณป้ายรถเมล์ห้างเดอะมอลล์ท่าพระ,"('ถนน', 'รถจอดขวางถนน')"
มีแมวจรมาขับถ่ายอยู่บนฝ้าร้าน,สัตว์
สะพานลอยป้ายรถเมล์วัดเสมียนนารี ปากซอยวิภาวดี 42 มีการติดตั้งระบบไฟบนสะพานลอยไม่ปลอดภัย,รถสาธารณะ
ขายอาหารบนทางเท้า,"('ทางเท้า', 'หาบเร่แผงลอย')"
รถยนต์และรถมอเตอร์ไซค์จอดบนทางเท้าเป็นประจำทุกวัน,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
1.แจ้งร้านหมูกระทะตั้งร้านบนทางเท้า  กีดขวางทางเท้าและส่งกลิ่นรบกวน น่าจะผิด พรบ. สาธารณะสุข เหตุส่งกลิ่นและเหตุรำคาญ   บริเวณ หน้าปากซอยจรัญสนิทวงศ์ 52,"('ทางเท้า', 'รถจอดขวางทางเท้า')"
ต้องการให้ไฟติดแล้วก็ต้นไม้อะค่ะ มันยาวลงมาโดนหัวคนที่เดินผ่านแล้วค่ะ,"('ไฟฟ้า', 'เสาไฟฟ้า&สายไฟฟ้า')"
สีลม ซอย 4  ริมถนน,reject
ฝาท่อประปาชำรุดบนทางเท้า อันตรายสำหรับผู้ที่สัญจรไปมา บริเวณ ถ.ประชาราษฎร์สาย 1 หน้าร้านเช่าชุด ตรงข้ามที่พักข้าราชบริพารส่วนพระองค์ บางซื่อ,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
ฝาท่อระบายน้าทางเท้าเสียหาย บริเวณหน้าบริษัทแม็คยีนส์ประเวศ,"('ทางเท้า', 'ท่อระบายน้ำบนทางเท้า')"
อยากให้เขตตั้งศูนย์หรือสมาคมคนพิการตามเขต เพื่อรวบรวมคนพิการที่อาศัยอยู่ เพื่อสะดวกในการช่วยเหลือ และติดตามครับ,การเข้าถึงของคนพิการ&ผู้สูงอายุ
ไฟทางเดินเท้า จาก MRT บางแค ประตู 2 ส่องสว่างไม่เพียงพอ ต้องใช้ไฟหน้ารถที่วิ่งบนท้องถนน ช่วยในการให้แสงสว่าง,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
เบรลล์บล็อคชำรุด อาจเป็นอันตรายกับคนพิการ บริเวณทางขึ้นรถไฟฟ้าสายสีแดงสถานีทุ่งสองห้อง ฝั่งซอยวิภาวดี 25,การเข้าถึงของคนพิการ&ผู้สูงอายุ
คนรอเก็บเงิน ที่จอดรถข้างสวนสาธารณะ,สวนสาธารณะ
มืดทั้งหมู่บ้านครับ ไฟตามเสาใช้ไม่ได้เลย,"('ไฟฟ้า', 'ไฟส่องสว่าง')"
ซ.ชานเมือง 8 เขตดินแดง เจ้าหน้าที่กองกวาด ไม่เคยเข้ามากวาดช่วงท้าย ๆ ซอย นับจากหัวมุมเชื่อมกับซอยอยู่เจริญ 28 เลย ทำให้มีคนที่ปล่อยหมา แมว มาถ่ายอุจาระเรี่ยราด สกปรก  2.มีการทิ้งเศษวัสดุ โดยไม่มีการขนย้าย ดังภาพ,"('ขยะ', 'ขยะ')"
วินมอไซด์เสียงดังยามวิกาล,วินมอเตอร์ไซค์
ผ่านทางมาเห็น ทางม้าลายเเละเส้นจราจรสีจาง รบกวนทาสีให้ชัดเจนเพื่อความปลอดภัยหน่อยครับ ถนนสารสิน เเยกหลังสวน ด้านข้างสวนลุมพินี พื้นที่รับผิดชอบ เขตปทุมวัน,"('ถนน', 'ทางม้าลาย')"
พื้นที่ข้างสวนหย่อม ...การเคหะทุ่งสองห้อง..สายรองใกล้โรงเรียน เคหะวิทยา 2 ตรงข้าม อนามัย ศูนย์53,reject
